alert-monitor  | [alert-monitor] 2026-07-14T01:50:11.430773 SoC=100%  batteryAlert transitioned -> False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=100%  batteryAlert=False
