sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 40%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 39%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 38%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 37%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 36%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 35%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 34%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 33%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 32%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 31%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 30%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 29%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 28%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 27%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 26%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 25%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 24%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 23%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 22%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 21%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 20%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 19%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 18%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 17%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 16%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 15%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 14%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 13%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 12%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 11%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 10%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 9%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 8%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 8%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 9%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 10%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 11%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 12%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 13%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 14%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 15%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 16%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 17%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 18%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 19%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 20%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 21%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 22%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 23%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 24%
sensor-simulator  | [sensor_simulator] published Vehicle.Powertrain.TractionBattery.StateOfCharge.Current = 25%
sensor-simulator  | [sensor_simulator] scenario complete
